station,valid,fx_valid,raw,is_tempo,fx_valid_end,sknt,drct,gust,visibility,presentwx,skyc,skyl,ws_level,ws_drct,ws_sknt,product_id,ftype
KACY,2026-01-18 11:37,2026-01-18 18:00,FM181800 35008KT 1SM -RASN BR OVC005,False,,8.0,350.0,0.0,1.0,"['-RASN', 'BR']",['OVC'],[500],,,,202601181137-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-18 11:37,2026-01-18 23:00,FM182300 31006KT 3SM -SNRA OVC007,False,,6.0,310.0,0.0,3.0,['-SNRA'],['OVC'],[700],,,,202601181137-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-18 11:37,2026-01-19 02:00,FM190200 30008KT P6SM OVC015,False,,8.0,300.0,0.0,6.01,[],['OVC'],[1500],,,,202601181137-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-18 11:37,2026-01-19 05:00,FM190500 28010KT P6SM FEW025,False,,10.0,280.0,0.0,6.01,[],['FEW'],[2500],,,,202601181137-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-18 17:33,2026-01-18 17:33,1818/1918 34005KT 3SM -RASN BR OVC007,False,,5.0,340.0,0.0,3.0,"['-RASN', 'BR']",['OVC'],[700],,,,202601181733-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-18 17:33,2026-01-18 21:00,FM182100 34005KT 1SM -RASN BR OVC005,False,,5.0,340.0,0.0,1.0,"['-RASN', 'BR']",['OVC'],[500],,,,202601181733-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-18 17:33,2026-01-18 22:00,TEMPO 1822/1824 3/4SM -SNRA BR OVC004,True,2026-01-19 00:00,,,,0.75,"['-SNRA', 'BR']",['OVC'],[400],,,,202601181733-KPHI-FTUS41-TAFACY,Temporary
KACY,2026-01-18 17:33,2026-01-19 02:00,FM190200 31009G17KT 3SM BR VCSH OVC010,False,,9.0,310.0,17.0,3.0,"['BR', 'VCSH']",['OVC'],[1000],,,,202601181733-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-18 17:33,2026-01-19 04:00,FM190400 30008G15KT P6SM SCT050,False,,8.0,300.0,15.0,6.01,[],['SCT'],[5000],,,,202601181733-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-18 17:33,2026-01-19 10:00,FM191000 27007KT P6SM FEW150,False,,7.0,270.0,0.0,6.01,[],['FEW'],[15000],,,,202601181733-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-18 17:33,2026-01-19 15:00,FM191500 24010G19KT P6SM SKC,False,,10.0,240.0,19.0,6.01,[],['SKC'],[None],,,,202601181733-KPHI-FTUS41-TAFACY,Forecast
