station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth,anomaly,anomaly_score,is_anomaly,PC1,PC2
OOA,2026-01-06 02:55,36.3,36.0,98.82,70.0,3.0,0.0,29.65,M,0.75,M,VV ,M,M,M,500.00,M,M,M,M,M,M,M,M,M,M,33.6,KOOA 060255Z AUTO 07003KT 3/4SM VV005 02/02 A2965 RMK AO2 T00240023,M,-1,-0.5956916207923806,1,3.631146087333801,-2.381045954880388
OOA,2026-01-24 17:15,1.4,-7.6,65.12,110.0,5.0,0.0,30.63,M,5.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-9.95,KOOA 241715Z AUTO 11005KT 5SM CLR M17/M22 A3063 RMK AO2 T11701220,M,-1,-0.5954981645026889,1,-2.073532110429905,-2.105204759978496
OOA,2026-01-06 03:35,37.2,37.0,99.21,10.0,4.0,0.0,29.64,M,1.25,M,VV ,M,M,M,700.00,M,M,M,M,M,M,M,M,M,M,33.49,KOOA 060335Z AUTO 01004KT 1 1/4SM VV007 03/03 A2964 RMK AO2 T00290027,M,-1,-0.5945328768290752,1,3.689667597336501,-2.5130102005494535
OOA,2026-01-07 11:15,29.7,29.3,98.38,0.0,0.0,0.0,29.84,M,0.75,M,VV ,M,M,M,500.00,M,M,M,M,M,M,M,M,M,M,29.7,KOOA 071115Z AUTO 00000KT 3/4SM VV005 M01/M01 A2984 RMK AO2 T10131015,M,-1,-0.5943374355860684,1,2.87772617662901,-3.3227738256864368
OOA,2026-01-07 03:35,33.0,33.0,100.0,0.0,0.0,0.0,29.86,M,0.25,M,VV ,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,33.0,KOOA 070335Z AUTO 00000KT M1/4SM VV000 01/01 A2986 RMK AO2 T00050005,M,-1,-0.594196292546036,1,3.179954855202801,-3.3462942057737015
OOA,2026-01-07 03:15,33.0,33.0,100.0,0.0,0.0,0.0,29.86,M,0.25,M,VV ,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,33.0,KOOA 070315Z AUTO 00000KT M1/4SM VV000 01/01 A2986 RMK AO2 T00060006,M,-1,-0.594196292546036,1,3.179954855202801,-3.3462942057737015
OOA,2026-01-23 15:35,-7.8,-25.4,40.77,360.0,11.0,0.0,30.81,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-27.83,KOOA 231535Z AUTO 36011KT 10SM CLR M22/M32 A3081 RMK AO2 T12211319,M,-1,-0.5940693309555767,1,-4.594985691571284,0.5589974306210399
OOA,2026-01-07 04:55,30.2,30.2,100.0,0.0,0.0,0.0,29.84,M,0.5,M,VV ,M,M,M,500.00,M,M,M,M,M,M,M,M,M,M,30.2,KOOA 070455Z AUTO 00000KT 1/2SM VV005 M01/M01 A2984 RMK AO2 T10101010,M,-1,-0.5938393024530498,1,2.9935829086254317,-3.3671736550765283
OOA,2026-01-23 18:55,-0.6,-21.0,36.41,20.0,12.0,0.0,30.79,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-19.49,KOOA 231855Z AUTO 02012KT 10SM CLR M18/M29 A3079 RMK AO2 T11811295,M,-1,-0.5929926786527893,1,-4.124339351313655,-0.8781700504473557
OOA,2026-01-07 05:35,30.6,30.4,99.19,0.0,0.0,0.0,29.85,M,0.25,M,VV ,M,M,M,200.00,M,M,M,M,M,M,M,M,M,M,30.6,KOOA 070535Z AUTO 00000KT 1/4SM VV002 M01/M01 A2985 RMK AO2 T10081009,M,-1,-0.5920106752330841,1,3.0052972434981116,-3.373821315700643
